PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PERCENT_INHIBITION
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Percent Inhibition of HUTS-21 antibody binding
RESULT_UNIT,,,,,,,PERCENT
636,842863,645140,Inactive,0,,,-12.65
637,842864,645141,Inactive,6,,,6.01
638,842865,645142,Inactive,13,,,13.17
639,842867,645144,Inactive,0,,,-9.1
640,842868,645145,Inactive,9,,,8.51
641,842869,626230,Inactive,3,,,3.08
642,842871,645147,Inactive,6,,,6.46
643,842872,645148,Inactive,1,,,0.82
644,842873,645149,Inactive,0,,,-9.5
645,842874,645150,Inactive,2,,,2.34
646,842875,645151,Inactive,11,,,10.6
647,842876,645152,Inactive,14,,,14.32
648,842877,645153,Inactive,0,,,-2.47
649,842878,645154,Inactive,0,,,-5.8
650,842881,645157,Inactive,0,,,-0.22
651,842882,98928,Inactive,4,,,3.79
652,842883,30627,Inactive,10,,,9.96
653,842884,645158,Inactive,0,,,-1.68
654,842885,645159,Inactive,10,,,9.96
655,842886,645160,Inactive,1,,,0.81
656,842887,605132,Inactive,4,,,3.93
657,842888,645161,Inactive,0,,,0.23
658,842889,645162,Inactive,0,,,-28.05
659,842890,645163,Inactive,0,,,-8.35
660,842892,645165,Inactive,3,,,2.84
661,842893,645166,Inactive,0,,,-2.35
662,842894,604935,Inactive,0,,,-0.69
663,842895,645167,Inactive,18,,,17.73
664,842896,645168,Inactive,0,,,-3.71
665,842897,5769577,Inactive,18,,,17.81
666,842898,645170,Inactive,5,,,5.4
667,842899,645171,Inactive,28,,,28.16
668,842900,1732491,Inactive,0,,,-15.39
669,842901,645173,Inactive,28,,,27.5
670,842902,645174,Inactive,3,,,2.99
671,842903,645175,Inactive,12,,,12.08
672,842904,645176,Inactive,13,,,13.14
673,842905,645177,Inactive,2,,,2.08
674,842906,645178,Inactive,1,,,0.65
675,842907,5293860,Inactive,0,,,0.13
676,842908,645180,Inactive,10,,,10.22
677,842909,645181,Inactive,14,,,13.97
678,842910,54677841,Inactive,6,,,5.57
679,842911,645183,Inactive,21,,,21.24
680,842913,645185,Inactive,5,,,5.38
681,842914,645186,Inactive,11,,,10.88
682,842915,645187,Inactive,5,,,5.24
683,842916,645188,Inactive,13,,,13.1
684,842919,645191,Inactive,14,,,13.73
685,842920,645192,Inactive,8,,,8.46
686,842921,645193,Inactive,0,,,-6.73
687,842923,645195,Inactive,0,,,-3.39
688,842925,645197,Inactive,2,,,2.3
689,842926,615939,Inactive,5,,,4.95
690,842927,645198,Inactive,0,,,-1.09
691,842928,645199,Inactive,1,,,1.38
692,842929,645200,Inactive,0,,,-10.54
693,842931,645202,Inactive,9,,,8.7
694,842932,5769182,Inactive,9,,,9.29
695,842933,645204,Inactive,21,,,20.83
696,842934,645205,Inactive,2,,,2.42
697,842935,645206,Inactive,0,,,-7.05
698,842936,645207,Inactive,5,,,5.06
699,842937,645208,Inactive,0,,,-0.27
700,842938,645209,Inactive,25,,,25.39
701,842939,645210,Inactive,11,,,11.1
702,842940,645211,Inactive,24,,,24.08
703,842942,645213,Inactive,2,,,2.04
704,842943,645214,Inactive,0,,,-6.65
705,842944,645215,Inactive,15,,,14.65
706,842945,645216,Inactive,12,,,12.16
707,842946,645217,Inactive,0,,,-11.99
708,842947,645218,Inactive,10,,,9.94
709,842948,6602624,Inactive,12,,,11.9
710,842949,645221,Inactive,4,,,3.69
711,842950,6602555,Inactive,12,,,11.89
712,842951,197837,Inactive,6,,,6.31
713,842952,645225,Inactive,18,,,17.57
714,842953,6602688,Inactive,9,,,8.61
715,842954,2733448,Inactive,8,,,7.91
716,842955,6603376,Inactive,7,,,6.89
717,842956,6603572,Inactive,12,,,12.33
718,842957,645234,Inactive,0,,,-3.95
719,842958,645236,Inactive,13,,,12.85
